frame_num,bbox,class,id
17,[245.34736878 157.65353035 328.75905684 242.22735822],dining table,11
18,[236.8318691  60.        268.1298722 140.       ],person,1
18,[250.47611174 158.91073095 326.32364051 237.45410167],chair,2
18,[176.917119   197.54623747 240.64611802 310.50850292],chair,3
18,[ 80.01855123 137.26259283 136.70243466 231.22402572],person,4
18,[324.91966575  67.86392813 366.72811347 141.7427884 ],person,6
18,[ 71.89131559  68.28351837  97.66465529 136.78795103],person,7
18,[302.84419053  66.78683865 327.51301546 148.90195053],person,8
18,[414.50860825  56.52946362 457.44119448 104.56895506],person,9
18,[245.37042246 157.91374609 328.6863288  242.11782571],dining table,11
19,[236.8424074   60.         268.11324507 140.        ],person,1
19,[250.10162406 159.00176632 326.83371906 238.48500334],chair,2
19,[177.84992294 198.49201044 240.00168705 308.15475737],chair,3
19,[ 79.77336409 137.16970241 136.47048    230.9581346 ],person,4
19,[324.79868359  68.61531509 366.43710839 141.9205214 ],person,6
19,[ 72.96921846  70.98799951  96.64372803 133.26415458],person,7
19,[302.84262133  67.58453202 327.26160327 148.96975869],person,8
19,[411.19957747  57.45567525 453.12268237 104.16882651],person,9
19,[245.67990492 158.00727414 329.02193945 242.07219371],dining table,11
20,[237.25168031  60.66191778 268.36712192 140.        ],person,1
20,[249.78469451 159.03261404 327.20064598 239.52652208],chair,2
20,[177.51688977 198.85596049 239.77504216 308.60013667],chair,3
20,[ 80.3113881  137.12732229 137.08987256 230.87226339],person,4
20,[324.92652114  68.23542497 366.81529654 141.98669565],person,6
20,[ 71.84398724  71.59189894  94.94686587 132.36432916],person,7
20,[302.84464525  67.88599332 327.16615689 148.33160311],person,8
20,[408.71164365  57.14488858 450.76381521 104.02037052],person,9
20,[245.1748853  158.03807699 329.10115201 242.71615131],dining table,11
21,[237.26830921  60.2475216  268.60387418 140.        ],person,1
21,[249.76525356 158.38296371 328.55410119 240.57340909],chair,2
21,[178.17735963 199.65191455 240.23805335 308.11001257],chair,3
21,[ 79.11699407 135.77340281 137.38625082 232.1832648 ],person,4
21,[324.97467815  67.43030379 366.95608337 141.34953405],person,6
21,[302.99767739  67.99593158 327.64595185 148.7567721 ],person,8
21,[405.4031913   57.03135875 446.38049587 102.64262795],person,9
21,[245.5596603  158.04583369 329.21468827 242.29219047],dining table,11
22,[236.97429393  60.09046083 268.33139376 140.        ],person,1
22,[250.08894386 158.13423404 328.08       239.65323249],chair,2
22,[177.71686121 198.61174044 241.12140538 309.27189263],chair,3
22,[ 78.7814635  135.92340128 137.38621692 232.67760084],person,4
22,[324.00926441  66.46462789 366.66964929 141.76795107],person,6
22,[303.08487811  68.03338965 327.79640216 148.91669083],person,8
22,[404.70537555  57.6613244  444.27586105 101.45643568],person,9
22,[245.66281234 158.04469613 329.2975975  242.12569902],dining table,11
23,[236.87348447  60.03050783 268.21748496 140.        ],person,1
23,[250.52771107 158.03819745 327.57562158 238.62426493],chair,2
23,[178.00412201 198.88224981 240.9872916  308.3901862 ],chair,3
23,[ 78.88268914 136.64040764 137.1571302  232.8721065 ],person,4
23,[324.11626313  66.76010528 366.74664541 141.92601144],person,6
23,[302.93035882  67.38209565 328.04013684 148.9769779 ],person,8
23,[403.48426978  58.57444937 442.56263305 101.70569357],person,9
23,[245.37605876 157.37793472 329.64999248 242.06023968],dining table,11
24,[236.84597092  60.00793043 268.16548784 140.        ],person,1
24,[250.42343746 158.00282781 326.98713312 238.22860362],chair,2
24,[177.67557953 198.31901537 242.03248573 310.05304647],chair,3
24,[ 78.75258222 136.24903108 137.24088657 232.94792223],person,4
24,[324.40283172  67.53949853 366.53378815 141.98580483],person,6
24,[303.00301302  67.79348713 327.99988527 148.9990833 ],person,8
24,[401.66002315  58.23056405 441.40495093 102.48159136],person,9
24,[245.06270798 157.12569432 329.32347774 242.03389686],dining table,11
25,[236.84560922  59.99969398 268.13805018 140.        ],person,1
25,[251.25964936 157.99067274 327.21166327 237.41662463],chair,2
25,[177.32738585 198.76568817 240.67022823 308.70326937],chair,3
25,[ 78.89342719 136.7591673  137.08471605 232.97719412],person,4
25,[324.05406472  65.85258678 366.91245539 142.00712403],person,6
25,[302.85303082  66.6254227  328.16059336 149.00663174],person,8
